1101110110011000100100111001011000000100110111111100001010110001 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1101110110011000100100111001011000000100110111111100001010110001 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1101110110011000100100111001011000000100110111111100001010110001 0 || 1011101100110001001001110010110000001001101111111000010101100011
1101110110011000100100111001011000000100110111111100001010110001 0 || 0111011001100010010011100101100000010011011111110000101011000110
1101110110011000100100111001011000000100110111111100001010110001 0 || 1110110011000100100111001011000000100110111111100001010110001101
1101110110011000100100111001011000000100110111111100001010110001 0 || 1101100110001001001110010110000001001101111111000010101100011010
1101110110011000100100111001011000000100110111111100001010110001 0 || 1011001100010010011100101100000010011011111110000101011000110101
1101110110011000100100111001011000000100110111111100001010110001 0 || 0110011000100100111001011000000100110111111100001010110001101011
1101110110011000100100111001011000000100110111111100001010110001 0 || 1100110001001001110010110000001001101111111000010101100011010110
1101110110011000100100111001011000000100110111111100001010110001 0 || 1001100010010011100101100000010011011111110000101011000110101100
1101110110011000100100111001011000000100110111111100001010110001 0 || 0011000100100111001011000000100110111111100001010110001101011000
1101110110011000100100111001011000000100110111111100001010110001 0 || 0110001001001110010110000001001101111111000010101100011010110000
1101110110011000100100111001011000000100110111111100001010110001 0 || 1100010010011100101100000010011011111110000101011000110101100000
1101110110011000100100111001011000000100110111111100001010110001 0 || 1000100100111001011000000100110111111100001010110001101011000001
1101110110011000100100111001011000000100110111111100001010110001 0 || 0001001001110010110000001001101111111000010101100011010110000011
1101110110011000100100111001011000000100110111111100001010110001 0 || 0010010011100101100000010011011111110000101011000110101100000110
1101110110011000100100111001011000000100110111111100001010110001 0 || 0100100111001011000000100110111111100001010110001101011000001101
1101110110011000100100111001011000000100110111111100001010110001 0 || 1001001110010110000001001101111111000010101100011010110000011011
1101110110011000100100111001011000000100110111111100001010110001 0 || 0010011100101100000010011011111110000101011000110101100000110111
1101110110011000100100111001011000000100110111111100001010110001 0 || 0100111001011000000100110111111100001010110001101011000001101111
1101110110011000100100111001011000000100110111111100001010110001 0 || 1001110010110000001001101111111000010101100011010110000011011111
1101110110011000100100111001011000000100110111111100001010110001 0 || 0011100101100000010011011111110000101011000110101100000110111110
1101110110011000100100111001011000000100110111111100001010110001 0 || 0111001011000000100110111111100001010110001101011000001101111101
1101110110011000100100111001011000000100110111111100001010110001 0 || 1110010110000001001101111111000010101100011010110000011011111011
1101110110011000100100111001011000000100110111111100001010110001 0 || 1100101100000010011011111110000101011000110101100000110111110111
1101110110011000100100111001011000000100110111111100001010110001 0 || 1001011000000100110111111100001010110001101011000001101111101110
1101110110011000100100111001011000000100110111111100001010110001 0 || 0010110000001001101111111000010101100011010110000011011111011101
1101110110011000100100111001011000000100110111111100001010110001 0 || 0101100000010011011111110000101011000110101100000110111110111010
1101110110011000100100111001011000000100110111111100001010110001 0 || 1011000000100110111111100001010110001101011000001101111101110100
1101110110011000100100111001011000000100110111111100001010110001 0 || 0110000001001101111111000010101100011010110000011011111011101001
1101110110011000100100111001011000000100110111111100001010110001 0 || 1100000010011011111110000101011000110101100000110111110111010010
1101110110011000100100111001011000000100110111111100001010110001 0 || 1000000100110111111100001010110001101011000001101111101110100101
1101110110011000100100111001011000000100110111111100001010110001 0 || 0000001001101111111000010101100011010110000011011111011101001010
1101110110011000100100111001011000000100110111111100001010110001 0 || 0000010011011111110000101011000110101100000110111110111010010101
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000100110111111100001010110001101011000001101111101110100101011
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000100101010001100000001111111101001000100000010100000001101011
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000100001011011111000001001110000001110001101100000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000010101000101000110101010101000110000000010100000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000010001101011010100110000101110000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000011001111001010110000000011010000001000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000011111001000010010000110000111100000011000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000111000011111001011000000000000000000010000001000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0001000001000100000001000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000001000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
1101110110011000100100111001011000000100110111111100001010110001 1 || 0000000000000000000000000000000000000000000000000000000000000000
